date,cnt
4/8/2022,572
2/3/2014,121
6/4/2014,86
5/16/2018,137
5/22/2009,101
5/23/2021,298
7/3/2020,277
9/13/2022,940
9/20/2020,250
2/1/2022,554
8/23/2013,134
5/12/2022,601
12/23/2009,72
5/10/2020,281
1/3/2020,388
10/31/2010,78
4/14/2010,113
7/22/2016,133
2/15/2017,110
4/24/2012,139
7/22/2014,122
11/20/2019,201
6/9/2010,94
6/12/2015,62
6/11/2021,341
9/25/2017,115
6/9/2011,116
6/18/2021,270
12/20/2015,100
7/6/2016,98
9/25/2021,367
5/10/2022,577
6/2/2013,110
2/22/2019,144
2/5/2010,87
10/21/2013,113
9/20/2022,1274
1/1/2020,241
3/5/2020,232
7/28/2009,144
4/30/2018,151
7/15/2018,136
5/8/2020,261
7/19/2010,67
10/11/2011,138
11/16/2019,224
1/5/2017,153
5/20/2010,105
8/31/2021,446
4/4/2012,132
12/19/2016,122
9/21/2021,455
7/29/2011,141
8/31/2020,330
1/27/2022,589
3/4/2020,256
7/5/2015,99
9/23/2021,390
6/9/2021,392
10/24/2012,109
9/8/2010,97
4/15/2021,362
9/8/2020,312
7/15/2014,102
5/17/2010,97
11/24/2019,210
5/27/2012,105
3/22/2014,138
11/3/2021,467
1/12/2016,113
6/22/2009,187
3/7/2013,141
7/10/2018,176
3/13/2022,555
6/6/2021,339
9/17/2012,104
2/1/2009,23
10/21/2009,78
8/20/2011,133
5/5/2018,127
6/9/2022,608
10/7/2020,299
6/11/2018,167
6/21/2022,654
6/1/2016,106
3/23/2016,152
7/31/2013,99
6/23/2018,185
9/10/2011,100
3/30/2016,97
8/28/2021,378
11/22/2013,120
1/2/2019,176
11/17/2016,112
10/15/2020,291
9/7/2019,185
9/24/2019,192
4/26/2008,19
4/9/2012,111
11/15/2020,312
10/24/2019,222
9/26/2020,274
6/8/2021,342
11/1/2017,136
11/1/2015,110
2/3/2010,120
3/27/2019,163
9/18/2020,287
7/1/2014,109
6/29/2009,166
1/4/2020,307
12/12/2019,230
10/3/2021,450
11/8/2020,322
4/23/2018,123
1/26/2014,160
4/9/2009,128
11/30/2020,282
5/4/2020,283
6/5/2021,315
8/15/2019,198
1/16/2016,119
12/2/2016,124
6/14/2018,145
8/29/2011,150
6/23/2011,130
4/17/2021,116
3/27/2014,91
5/29/2018,171
9/9/2012,99
1/28/2017,177
7/6/2019,179
11/19/2013,109
12/27/2014,120
1/23/2010,108
5/22/2011,146
11/5/2009,89
9/3/2012,103
8/5/2016,111
3/16/2015,125
8/8/2022,755
1/23/2020,281
10/22/2012,99
5/20/2014,134
9/13/2015,114
5/6/2021,388
7/15/2009,131
10/21/2015,87
10/28/2011,122
4/5/2022,654
11/16/2011,150
12/13/2020,284
11/9/2018,131
9/17/2020,243
7/25/2009,100
9/11/2019,199
7/6/2015,100
10/16/2021,463
3/5/2018,130
12/28/2017,133
9/1/2015,107
10/22/2016,133
6/5/2013,127
9/18/2016,113
6/26/2022,604
3/9/2012,155
8/5/2012,115
3/23/2012,105
4/21/2009,178
7/18/2019,197
8/31/2009,96
4/18/2021,335
6/19/2021,317
12/7/2021,490
11/20/2013,103
7/16/2014,121
9/17/2016,110
7/18/2015,112
7/7/2022,720
11/4/2009,82
2/12/2021,323
3/8/2019,161
5/30/2022,613
12/28/2013,88
4/10/2020,332
12/4/2018,380
7/20/2014,109
6/28/2022,650
8/25/2014,102
8/3/2014,93
6/6/2022,574
12/6/2018,186
9/2/2016,119
2/22/2011,121
7/1/2022,697
9/5/2012,107
1/3/2017,133
4/3/2019,188
10/25/2021,465
7/9/2016,112
7/5/2012,122
1/3/2018,160
10/1/2019,182
5/12/2013,145
10/17/2022,1260
